"id","ChapterId","ChapterCode","ChapterName","Alert","DueDate","URL"
"alert-1","27fa3774-6d41-469f-91c1-006573c59fb5","CHP539","Psi Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/539"
"alert-2","5fb4fecd-d1a4-472f-8e07-00b7eb5bab23","CHP468","Upsilon Xi-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/468"
"alert-3","9b9a8cd0-0bfb-45e1-87b8-0162ac4a5aab","CHP544","Psi Sigma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/544"
"alert-4","ede76c5c-176d-4a2b-9963-0202e4a84d5c","CHP502","Phi Omega-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/502"
"alert-5","4a2e67e4-1115-4b97-9872-0282871b97bd","CHP451","Tau Phi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/451"
"alert-6","4f4920a9-c3e2-4d81-adb6-02a847dec8c2","CHP304","Mu Sigma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/304"
"alert-7","0c01f898-7886-49d2-a4e8-034e8de5e8a6","CHP274","Lambda Mu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/274"
"alert-8","1279b0e5-5082-4d61-9c22-03c8ddbac5a0","CHP452","Tau Chi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/452"
"alert-9","c63f9c92-7dc3-481f-ac57-03d4952ab2d1","CHP062","Beta Pi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/062"
"alert-10","68c568b0-24ca-483b-99fa-044809bbea26","CHP297","Mu Lambda Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/297"
